,WWTP_name,geometry
2908,City of Alturas Wastewater Treatment Plant,POINT (-120.55863949470022 41.47385247709034)
2909,Anderson Wastewater Treatment Plant,POINT (-122.27438541922666 40.464546007014036)
2911,Redding Stillwater Treatment Plant,POINT (-122.28902111871778 40.47617238908393)
2912,Plant_630524137,POINT (-117.52586868751322 34.084567918759355)
2913,Plant_639270640,POINT (-121.32874872611498 37.93625699173206)
2914,Plant_642723774,POINT (-121.65295985224427 36.618767077425616)
2915,Plant_651163907,POINT (-118.95797418052292 35.34924056354607)
2917,Plant_657499119,POINT (-122.2675072856568 40.38529942135762)
2919,Rosamond Wastewater Treatment Plant,POINT (-118.19141522949124 34.873304836507025)
2920,Corning Wastewater Treatment Plant,POINT (-122.10457430672771 39.915482760433015)
2921,Plant_668191389,POINT (-122.37807920880276 37.919088012508176)
2922,Plant_675055913,POINT (-118.08758504415928 33.80041162430742)
2926,Plant_685173284,POINT (-120.6247832082428 35.100659654185215)
2938,Plant_723852046,POINT (-121.71229000456754 38.66152292420414)
2939,Plant_728873581,POINT (-117.67375090316077 33.96535006394182)
2945,Plant_741776851,POINT (-121.07804335673144 37.53533591807931)
2946,Elsinore Valley Municipal Water District,POINT (-117.34331334533336 33.68403369961348)
2948,El Estero Wastewater Treatment Plant,POINT (-119.685307651073 34.41727715056273)
2949,Plant_746763131,POINT (-119.29790493452046 34.34320240834868)
2950,Plant_749928365,POINT (-121.67745907174542 39.26212692607117)
2952,Plant_752862154,POINT (-120.78473821002014 38.344885970155886)
2954,City of Redlands Wastewater Treatment and Disposal Facility,POINT (-117.21486492598657 34.090046800804785)
2955,Plant_766590835,POINT (-117.21920170694445 34.28657702756163)
2956,Plant_768029274,POINT (-119.05284777459975 34.16447672415771)
2957,4S Ranch Water Reclamation Facility,POINT (-117.11103731273144 33.013484724584494)
2959,Michelson Water Reclamation Plant,POINT (-117.83923423741552 33.66451158164262)
2960,City of San Bernardino Wastewater Treatment Plant,POINT (-117.28890907540385 34.07505377818153)
2961,Plant_776326093,POINT (-117.2154119839311 33.866358999559566)
2965,Plant_793537187,POINT (-117.68418989015493 33.4665565574171)
2966,Plant_821245509,POINT (-120.5406693284035 37.89702692344497)
2968,Plant_827921406,POINT (-119.64971948270973 36.295369867205956)
2969,Plant_833049402,POINT (-122.13094224342507 37.63417929039994)
2970,Plant_839202437,POINT (-121.69492159858235 38.14190554328567)
2971,Plant_844837068,POINT (-117.42846094338933 33.32731763043372)
2972,Plant_844837081,POINT (-117.534713758348 33.39520570557286)
2973,Plant_844840630,POINT (-117.60175405090287 34.028411626931636)
2974,Plant_845506761,POINT (-114.59837151307487 33.591279816643805)
2976,Plant_849739529,POINT (-117.22792825751125 33.10365432555408)
2977,Plant_849739533,POINT (-117.1779943016995 33.21295554644267)
2978,Plant_849942153,POINT (-117.35835651607593 34.62044098483765)
2979,Plant_851298438,POINT (-122.26354697987053 38.04199799597784)
2982,Plant_859725885,POINT (-116.85072184369214 33.914676846826254)
2983,Plant_859725897,POINT (-116.991715849093 33.92449099772027)
2990,Plant_866716957,POINT (-121.62428530488704 39.16144773737623)
2991,Plant_866717490,POINT (-121.61180594837457 39.107032393667346)
2992,Bridgeport Waste Treatment,POINT (-119.21034971825789 38.266169468283415)
2996,Plant_884225130,POINT (-121.42302334760875 37.766843937959585)
2997,Plant_884225138,POINT (-121.09047062146217 37.72904862939537)
2998,Plant_884225145,POINT (-120.84592317651789 37.756344557262196)
3000,Plant_885121586,POINT (-120.67392432153571 35.25362003295707)
3002,Plant_896974123,POINT (-117.215465359633 33.694485528044446)
3005,Susanville CSD Wastewater Treatment Plant,POINT (-120.62755611863895 40.414207618171275)
3006,Plant_899120663,POINT (-122.22130819319513 40.16146392044691)
3010,Oakmont Wastewater Reclamation Facility,POINT (-122.62510689997471 38.44873508962312)
3012,Plant_906341229,POINT (-119.18540409442666 34.1423909285802)
3013,Plant_906725592,POINT (-119.89565023784957 36.70201313014063)
3028,California City Wastewater Treatment Plant,POINT (-117.9357733514191 35.14196047622067)
3036,Plant_944381943,POINT (-121.09453613241186 38.94978484060246)
3038,Bella Vista Water District Waste Water Plant,POINT (-122.3519075267709 40.59962866139048)
3039,Plant_949492375,POINT (-117.29692619147872 33.31283505775649)
3045,Whispering Palms Water Reclamation Facility,POINT (-117.20158312120073 32.99393928575477)
3046,Plant_972469115,POINT (-121.31860643041138 38.73688279517533)
3047,Plant_972621638,POINT (-116.35073065063142 33.73662016745236)
3048,Plant_973083847,POINT (-116.2560418156323 33.77121322282109)
3058,La Salina Wastewater Treatment Plant,POINT (-117.36976758309513 33.179148808819264)
3067,Coastal Treatment Plant,POINT (-117.73645110160433 33.518082759985774)
3078,Shafter Waste Water Treatment Plant,POINT (-119.34593345277662 35.449245765246324)
3082,Plant_1118189719,POINT (-124.19454213006208 40.76562014783605)
3085,Riverside Water Quality Control Plant,POINT (-117.45829489291533 33.96265700925078)
3089,West County Wastewater - Water Quality & Resource Recovery Plant,POINT (-122.3771689348616 37.96421511439992)
3099,Plant_1180546479,POINT (-122.36035128768383 38.3936256680373)
3102,Plant_1201733978,POINT (-118.94449525415186 37.639893327146545)
