,WWTP_name,geometry,centroid
74,Plant_71504532,"POLYGON ((-97.8183984 26.1742888, -97.8183984 26.1747346, -97.8166417 26.1747676, -97.8166295 26.1743714, -97.8180202 26.1743274, -97.8181117 26.1742999, -97.8183984 26.1742888))",POINT (-97.81753340754078 26.17454402163412)
75,Plant_71504566,"POLYGON ((-97.419935 25.9724284, -97.4198984 25.9724504, -97.4189365 25.9723512, -97.4188634 25.9723071, -97.4188513 25.9722521, -97.4188878 25.9720815, -97.4189427 25.9720706, -97.4198802 25.9721863, -97.4199471 25.9722138, -97.4199654 25.9722414, -97.419935 25.9724284))",POINT (-97.41940221033867 25.972263194941092)
76,Plant_71504569,"POLYGON ((-97.341865 26.0888253, -97.3418527 26.0884842, -97.3430228 26.0885996, -97.3429863 26.0889518, -97.341865 26.0888253))",POINT (-97.34243620200958 26.088714466126493)
77,Plant_71504571,"POLYGON ((-97.7402285 26.2718412, -97.7402346 26.2719568, -97.7393861 26.2719461, -97.7393861 26.2718415, -97.7402285 26.2718412))",POINT (-97.739815842944 26.271896492763105)
78,Plant_71504577,"POLYGON ((-98.3202017 26.4077042, -98.3202322 26.4076932, -98.3204523 26.4077372, -98.3204645 26.4077538, -98.3204829 26.4078143, -98.3204279 26.408084, -98.3204034 26.4081115, -98.3201345 26.408084, -98.3201833 26.4077428, -98.3202017 26.4077042))",POINT (-98.32030820565882 26.40790685316316)
79,Plant_71504580,"POLYGON ((-97.622264 26.1767385, -97.6219713 26.1770303, -97.6217274 26.177179, -97.621569 26.1772945, -97.6215446 26.1774046, -97.6215325 26.1775752, -97.6214838 26.1777734, -97.6199842 26.1794744, -97.6198317 26.1794029, -97.6186054 26.1784734, -97.6209827 26.17582, -97.622264 26.1767385))",POINT (-97.62042757057192 26.177665146568277)
80,Plant_71504584,"POLYGON ((-98.2189374 26.3054382, -98.2189617 26.3053777, -98.2190595 26.3053556, -98.2191083 26.3053887, -98.2191267 26.3054492, -98.2190656 26.3055207, -98.2190046 26.3055207, -98.2189434 26.3054767, -98.2189374 26.3054382))",POINT (-98.21903046402983 26.305439218702137)
81,Plant_71504587,"POLYGON ((-98.032909 26.226004, -98.0329387 26.2287395, -98.03278 26.228855, -98.0308516 26.2288766, -98.0306381 26.2287334, -98.0305648 26.2287169, -98.0293993 26.2287331, -98.0293261 26.2287166, -98.0293078 26.228678, -98.0293505 26.2286175, -98.0305588 26.2286123, -98.0306198 26.2285958, -98.0307785 26.2284692, -98.0308335 26.2284582, -98.0321516 26.2284311, -98.0322431 26.2284586, -98.0323285 26.2284531, -98.0324079 26.2284146, -98.0324751 26.2283431, -98.0324873 26.2282606, -98.0324385 26.2281174, -98.0324509 26.2274569, -98.0324936 26.2273524, -98.0327317 26.2271653, -98.0327805 26.2270718, -98.0328172 26.2268406, -98.0327991 26.226026, -98.032909 26.226004))",POINT (-98.0320207322551 26.228241993762207)
82,Port Isabel Reservoir,"POLYGON ((-97.2283479 25.9604875, -97.2282627 25.9604106, -97.2283235 25.9602785, -97.228366 25.9600474, -97.2290964 25.9599646, -97.2291147 25.9599867, -97.2291939 25.9602893, -97.229048 25.960658, -97.2288288 25.9609276, -97.2287376 25.9609773, -97.2285792 25.9608177, -97.2283479 25.9604875))",POINT (-97.22874978407745 25.960396834659097)
83,Plant_71504601,"POLYGON ((-98.3486529 26.384363, -98.3482252 26.3843356, -98.3485058 26.3827613, -98.3487925 26.3812421, -98.3491958 26.381308, -98.3486529 26.384363))",POINT (-98.34871227533114 26.382822235481314)
