WWTP_name,geometry
Plant_55029658,"POLYGON ((-122.0307182 36.9614618, -122.030482 36.9613196, -122.0302759 36.9615314, -122.0303486 36.9615753, -122.0302285 36.9615424, -122.030079 36.9615501, -122.0299751 36.9616739, -122.0303336 36.9618833, -122.0307182 36.9614618))"
Sewer Plant #3,"POLYGON ((-119.0744956 35.2743227, -119.0780485 35.2743372, -119.0795292 35.2743363, -119.0795187 35.2718714, -119.0796108 35.2717953, -119.0889389 35.2717661, -119.092001 35.2717565, -119.0920569 35.2816063, -119.0745225 35.2815155, -119.0745038 35.276845, -119.0744956 35.2743227))"
Plant_59566165,"POLYGON ((-118.9584641 35.3434384, -118.9584733 35.3442318, -118.9570947 35.3442426, -118.9570855 35.3434492, -118.9584641 35.3434384))"
Sewer Plant #2,"POLYGON ((-118.9675426 35.3252433, -118.9764622 35.32518, -118.976446 35.3323679, -118.9786985 35.332418, -118.9786575 35.3359094, -118.9765279 35.3358927, -118.9765031 35.3392691, -118.976501 35.339557, -118.9588694 35.3396028, -118.9590244 35.3311942, -118.9589561 35.3253094, -118.9675426 35.3252433))"
Plant_60025394,"POLYGON ((-118.9575146 35.3489074, -118.9575146 35.348904, -118.9575156 35.348887, -118.9575193 35.3488667, -118.9575268 35.3488437, -118.9575343 35.3488277, -118.9575454 35.3488094, -118.9575564 35.3487949, -118.9575716 35.3487787, -118.9575858 35.3487662, -118.9576045 35.3487526, -118.9576249 35.3487407, -118.9576466 35.3487306, -118.9576656 35.3487237, -118.9576853 35.3487181, -118.9577096 35.3487133, -118.9577302 35.3487109, -118.9577552 35.34871, -118.957776 35.3487109, -118.9578007 35.3487139, -118.9578209 35.348718, -118.9578444 35.3487248, -118.957867 35.3487336, -118.9578883 35.3487443, -118.957905 35.3487546, -118.9579263 35.3487708, -118.95794 35.3487837, -118.9579545 35.3488004, -118.9579668 35.3488182, -118.9579768 35.3488369, -118.9579843 35.3488565, -118.9579887 35.3488731, -118.9579912 35.3488901, -118.957992 35.3489071, -118.9579909 35.3489242, -118.9579872 35.3489444, -118.9579822 35.348961, -118.9579739 35.3489803, -118.9579631 35.3489988, -118.9579501 35.3490162, -118.9579376 35.3490299, -118.9579207 35.349045, -118.9579052 35.3490564, -118.9578852 35.3490686, -118.9578673 35.3490774, -118.9578486 35.3490849, -118.9578292 35.349091, -118.9578051 35.3490965, -118.9577805 35.3490999, -118.9577597 35.3491011, -118.9577306 35.3491003, -118.9577099 35.3490979, -118.9576897 35.3490941, -118.957666 35.3490876, -118.9576469 35.3490807, -118.9576252 35.3490706, -118.9576048 35.3490587, -118.9575861 35.3490452, -118.9575746 35.3490353, -118.957559 35.3490193, -118.9575456 35.349002, -118.9575344 35.3489837, -118.9575244 35.3489613, -118.9575194 35.3489447, -118.9575161 35.3489279, -118.9575146 35.3489074))"
Los Alisos Water Reclamation Plant,"POLYGON ((-117.7164103 33.635555, -117.7174975 33.6359646, -117.7174217 33.6360588, -117.7173992 33.6360943, -117.7173914 33.6361134, -117.7173831 33.6361527, -117.7173849 33.6361932, -117.7173895 33.636213, -117.7173995 33.6362386, -117.7174222 33.6362741, -117.7174532 33.6363049, -117.7174912 33.6363295, -117.7175282 33.6363451, -117.7176809 33.6363955, -117.7181528 33.6365956, -117.7184182 33.6366863, -117.7184334 33.6366935, -117.7184482 33.6367085, -117.7184544 33.6367272, -117.7184515 33.6367451, -117.7184337 33.6367892, -117.7183481 33.6369682, -117.7182407 33.6371387, -117.7181126 33.6372988, -117.7180888 33.6373249, -117.7179383 33.6374709, -117.7177704 33.6376028, -117.7175868 33.6377194, -117.7174243 33.6378034, -117.7173959 33.6378151, -117.7173662 33.6378243, -117.7173356 33.6378308, -117.7172796 33.6378356, -117.7171153 33.6378369, -117.717084 33.63784, -117.717054 33.6378484, -117.7170268 33.6378619, -117.7169986 33.6378848, -117.7168704 33.6378, -117.7156691 33.6390668, -117.7148221 33.6385044, -117.7143097 33.6381608, -117.7123818 33.636868, -117.713815 33.6369069, -117.7156818 33.6368864, -117.7157682 33.6367411, -117.7164103 33.635555))"
Plant_61139366,"POLYGON ((-120.0672914 36.7058061, -120.0681679 36.70579, -120.0681746 36.7062707, -120.0695665 36.706272, -120.06952 36.709351, -120.0694651 36.7129838, -120.0662746 36.7129628, -120.0672065 36.7112678, -120.0672354 36.7094106, -120.0660314 36.7093984, -120.0650755 36.7093887, -120.0651338 36.7058174, -120.0660894 36.7058124, -120.0672914 36.7058061))"
Plant_61167484,"POLYGON ((-119.3363792 36.6102593, -119.3317695 36.6102152, -119.3316313 36.6069189, -119.3316069 36.6067872, -119.3316509 36.6032731, -119.3316526 36.6031391, -119.3351584 36.6031623, -119.3367448 36.6067701, -119.3381543 36.6095015, -119.3384881 36.6102392, -119.3363792 36.6102593))"
Fresno Clovis Regional Waste Water Treatment Plant,"POLYGON ((-119.9127492 36.7061639, -119.9073943 36.7061652, -119.8984794 36.7061669, -119.8895893 36.7061751, -119.889496 36.6992158, -119.889555 36.6989319, -119.8895505 36.692954, -119.8896106 36.6928462, -119.889416 36.6926475, -119.8891222 36.6928859, -119.8891187 36.6919891, -119.8895926 36.6919834, -119.8895477 36.6846189, -119.8895413 36.6774391, -119.9075682 36.6774139, -119.9075529 36.6845504, -119.9166051 36.6845148, -119.9166184 36.6917452, -119.9341973 36.6917569, -119.9342613 36.6918122, -119.9341196 36.7025116, -119.9341716 36.7059755, -119.9328059 36.7059853, -119.9318449 36.7059939, -119.929751 36.7060349, -119.9275095 36.7060518, -119.9252681 36.7060686, -119.9163094 36.7061355, -119.9162046 36.7062179, -119.9127487 36.7062189, -119.9127492 36.7061639))"
Plant_68716936,"POLYGON ((-114.6060684 33.5719816, -114.6060947 33.572042, -114.6060881 33.5721355, -114.606075 33.5721739, -114.6060422 33.5722179, -114.6059963 33.5722619, -114.605911 33.5722784, -114.6058388 33.5722839, -114.6057534 33.5722675, -114.6057074 33.572251, -114.605668 33.572218, -114.6056286 33.5721796, -114.6056024 33.5721301, -114.6055958 33.5720972, -114.6055958 33.5720422, -114.605622 33.5719817, -114.6056548 33.5719377, -114.6057269 33.5719103, -114.6057991 33.5718937, -114.605878 33.5718937, -114.6059436 33.5719047, -114.6059961 33.5719212, -114.6060224 33.5719431, -114.6060684 33.5719816))"
